Extracting baserom with 4 CPU cores.
extracting baserom/ovl_En_Dnt_Demo (0x00D4DB40, 0x00D4E860)
extracting baserom/ovl_En_Dnt_Jiji (0x00D4E860, 0x00D4FD80)
extracting baserom/ovl_En_Dnt_Nomal (0x00D4FD80, 0x00D52B80)
extracting baserom/ovl_En_Dodojr (0x00D52B80, 0x00D54A20)
extracting baserom/ovl_En_Dodongo (0x00D54A20, 0x00D577C0)
extracting baserom/ovl_En_Dog (0x00D577C0, 0x00D58970)
extracting baserom/ovl_En_Door (0x00D58970, 0x00D597B0)
extracting baserom/ovl_En_Ds (0x00D597B0, 0x00D5A3D0)
extracting baserom/ovl_En_Du (0x00D5A3D0, 0x00D5BE60)
extracting baserom/ovl_En_Dy_Extra (0x00D5BE60, 0x00D5C400)
extracting baserom/ovl_En_Eg (0x00D5C400, 0x00D5C5B0)
extracting baserom/ovl_En_Eiyer (0x00D5C5B0, 0x00D5E210)
extracting baserom/ovl_En_Elf (0x00D5E210, 0x00D62BD0)
extracting baserom/ovl_En_Encount1 (0x00D62BD0, 0x00D63730)
extracting baserom/ovl_En_Encount2 (0x00D63730, 0x00D64960)
extracting baserom/ovl_En_Ex_Item (0x00D64960, 0x00D65AE0)
extracting baserom/ovl_En_Ex_Ruppy (0x00D65AE0, 0x00D66BA0)
extracting baserom/ovl_En_Fd (0x00D66BA0, 0x00D69840)
extracting baserom/ovl_En_Fd_Fire (0x00D69840, 0x00D6A550)
extracting baserom/ovl_En_Fhg_Fire (0x00D6A550, 0x00D6CBF0)
extracting baserom/ovl_En_Fire_Rock (0x00D6CBF0, 0x00D6DD00)
extracting baserom/ovl_En_Firefly (0x00D6DD00, 0x00D6FE70)
extracting baserom/ovl_En_Fish (0x00D6FE70, 0x00D71F80)
extracting baserom/ovl_En_Floormas (0x00D71F80, 0x00D75360)
extracting baserom/ovl_En_Fr (0x00D75360, 0x00D77DF0)
extracting baserom/ovl_En_Fu (0x00D77DF0, 0x00D78B30)
extracting baserom/ovl_En_Fw (0x00D78B30, 0x00D7A2F0)
extracting baserom/ovl_En_Fz (0x00D7A2F0, 0x00D7C300)
extracting baserom/ovl_En_G_Switch (0x00D7C300, 0x00D7DB20)
extracting baserom/ovl_En_Ganon_Mant (0x00D7DB20, 0x00D81D50)
extracting baserom/ovl_En_Ganon_Organ (0x00D81D50, 0x00D88D90)
extracting baserom/ovl_En_Gb (0x00D88D90, 0x00D8A4C0)
extracting baserom/ovl_En_Ge1 (0x00D8A4C0, 0x00D8C4F0)
extracting baserom/ovl_En_Ge2 (0x00D8C4F0, 0x00D8DE90)
extracting baserom/ovl_En_Ge3 (0x00D8DE90, 0x00D8EAD0)
extracting baserom/ovl_En_GeldB (0x00D8EAD0, 0x00D93E80)
extracting baserom/ovl_En_GirlA (0x00D93E80, 0x00D967A0)
