extracting baserom/ovl_Obj_Lift (0x00E08550, 0x00E08F70)
extracting baserom/ovl_Obj_Hsblock (0x00E08F70, 0x00E09540)
extracting baserom/ovl_En_Okarina_Tag (0x00E09540, 0x00E0AA20)
extracting baserom/ovl_En_Yabusame_Mark (0x00E0AA20, 0x00E0B0F0)
extracting baserom/ovl_En_Goroiwa (0x00E0B0F0, 0x00E0D4B0)
extracting baserom/ovl_En_Ex_Ruppy (0x00E0D4B0, 0x00E0E570)
extracting baserom/ovl_En_Toryo (0x00E0E570, 0x00E0F200)
extracting baserom/ovl_En_Daiku (0x00E0F200, 0x00E10940)
extracting baserom/ovl_En_Nwc (0x00E10940, 0x00E11380)
extracting baserom/ovl_En_Blkobj (0x00E11380, 0x00E118E0)
extracting baserom/ovl_Item_Inbox (0x00E118E0, 0x00E11A40)
extracting baserom/ovl_En_Ge1 (0x00E11A40, 0x00E13A70)
extracting baserom/ovl_Obj_Blockstop (0x00E13A70, 0x00E13C10)
extracting baserom/ovl_En_Sda (0x00E13C10, 0x00E15250)
extracting baserom/ovl_En_Clear_Tag (0x00E15250, 0x00E1DDC0)
extracting baserom/ovl_En_Niw_Lady (0x00E1DDC0, 0x00E1F6A0)
extracting baserom/ovl_En_Gm (0x00E1F6A0, 0x00E203D0)
extracting baserom/ovl_En_Ms (0x00E203D0, 0x00E20AC0)
extracting baserom/ovl_En_Hs (0x00E20AC0, 0x00E21660)
extracting baserom/ovl_Bg_Ingate (0x00E21660, 0x00E219F0)
extracting baserom/ovl_En_Kanban (0x00E219F0, 0x00E24B40)
extracting baserom/ovl_En_Heishi3 (0x00E24B40, 0x00E25510)
extracting baserom/ovl_En_Syateki_Niw (0x00E25510, 0x00E275A0)
extracting baserom/ovl_En_Attack_Niw (0x00E275A0, 0x00E28800)
extracting baserom/ovl_Bg_Spot01_Idosoko (0x00E28800, 0x00E28A10)
extracting baserom/ovl_En_Sa (0x00E28A10, 0x00E2AC80)
extracting baserom/ovl_En_Wonder_Talk (0x00E2AC80, 0x00E2B310)
extracting baserom/ovl_Bg_Gjyo_Bridge (0x00E2B310, 0x00E2B810)
extracting baserom/ovl_En_Ds (0x00E2B810, 0x00E2C430)
extracting baserom/ovl_En_Mk (0x00E2C430, 0x00E2D2C0)
extracting baserom/ovl_En_Bom_Bowl_Man (0x00E2D2C0, 0x00E2E800)
extracting baserom/ovl_En_Bom_Bowl_Pit (0x00E2E800, 0x00E2F170)
extracting baserom/ovl_En_Owl (0x00E2F170, 0x00E32D10)
extracting baserom/ovl_En_Ishi (0x00E32D10, 0x00E3BE60)
extracting baserom/ovl_Obj_Hana (0x00E3BE60, 0x00E3C170)
extracting baserom/ovl_Obj_Lightswitch (0x00E3C170, 0x00E3D5A0)
extracting baserom/ovl_Obj_Mure2 (0x00E3D5A0, 0x00E3DFC0)
extracting baserom/ovl_En_Go (0x00E3DFC0, 0x00E42600)
extracting baserom/ovl_En_Fu (0x00E42600, 0x00E43340)
extracting baserom/ovl_En_Changer (0x00E43340, 0x00E43D20)
extracting baserom/ovl_Bg_Jya_Megami (0x00E43D20, 0x00E44F00)
extracting baserom/ovl_Bg_Jya_Lift (0x00E44F00, 0x00E45450)
extracting baserom/ovl_Bg_Jya_Bigmirror (0x00E45450, 0x00E45C90)
extracting baserom/ovl_Bg_Jya_Bombchuiwa (0x00E45C90, 0x00E467C0)
extracting baserom/ovl_Bg_Jya_Amishutter (0x00E467C0, 0x00E46B50)
extracting baserom/ovl_Bg_Jya_Bombiwa (0x00E46B50, 0x00E47110)
extracting baserom/ovl_Bg_Spot18_Basket (0x00E47110, 0x00E48100)
extracting baserom/ovl_En_Ganon_Organ (0x00E48100, 0x00E4F100)
extracting baserom/ovl_En_Siofuki (0x00E4F100, 0x00E4FEB0)
extracting baserom/ovl_En_Stream (0x00E4FEB0, 0x00E50440)
extracting baserom/ovl_En_Mm (0x00E50440, 0x00E51A60)
extracting baserom/ovl_En_Ko (0x00E51A60, 0x00E55BA0)
extracting baserom/ovl_En_Kz (0x00E55BA0, 0x00E570B0)
extracting baserom/ovl_En_Weather_Tag (0x00E570B0, 0x00E57FA0)
extracting baserom/ovl_Bg_Sst_Floor (0x00E57FA0, 0x00E58500)
extracting baserom/ovl_En_Ani (0x00E58500, 0x00E59270)
extracting baserom/ovl_En_Ex_Item (0x00E59270, 0x00E5A3E0)
extracting baserom/ovl_Bg_Jya_Ironobj (0x00E5A3E0, 0x00E5B190)
extracting baserom/ovl_En_Js (0x00E5B190, 0x00E5BB60)
extracting baserom/ovl_En_Jsjutan (0x00E5BB60, 0x00E60920)
extracting baserom/ovl_En_Cs (0x00E60920, 0x00E61B50)
extracting baserom/ovl_En_Md (0x00E61B50, 0x00E641C0)
extracting baserom/ovl_En_Hy (0x00E641C0, 0x00E67B00)
extracting baserom/ovl_En_Ganon_Mant (0x00E67B00, 0x00E6BD20)
extracting baserom/ovl_En_Okarina_Effect (0x00E6BD20, 0x00E6C0D0)
extracting baserom/ovl_En_Mag (0x00E6C0D0, 0x00E6EFE0)
